W#,sex,Years b/w last mold and death,SFBR ID,Left or Right M2?,Dentin Area,Total Area of occlusal surface,DER,PED,Dentin Area,Total Area of occlusal surface,DER,PED,Dentin Area,Total Area of occlusal surface,DER,PED,Dentin Area,Total Area of occlusal surface,DER,PED,
3,female,1.56,1X4045,Right,19.94,95.235,0.2093768047,20.93768047,16.985,90.426,0.1878331453,18.78331453,23.637,97.309,0.2429066171,24.29066171,18.612,90.989,0.2045521986,20.45521986,
8,female,0.45,1X1957,Right,10.4,86.581,0.1201187327,12.01187327,8.825,84.287,0.1047017927,10.47017927,10.735,88.055,0.1219124411,12.19124411,8.552,86.23,0.09917662067,9.917662067,
10,female,0.52,1X3771,Left,6.978,89.509,0.07795864103,7.795864103,5.259,80.339,0.06546011277,6.546011277,7.768,93.608,0.08298436031,8.298436031,5.46,88.175,0.06192231358,6.192231358,
12,female,1.09,1X1687,Left,10.981,99.952,0.1098627341,10.98627341,11.996,94.877,0.1264373874,12.64373874,12.075,96.912,0.1245975731,12.45975731,11.375,94.799,0.1199907172,11.99907172,
17,female,1.55,1X3939,Left,13.009,101.484,0.1281876946,12.81876946,10.831,96.243,0.1125380547,11.25380547,13.613,102.732,0.1325098314,13.25098314,11.883,97.243,0.1221990272,12.21990272,
18,male,1.23,1X3475,Left,13.089,105.168,0.12445801,12.445801,11.758,98.896,0.118892574,11.8892574,14.206,100.823,0.1409003898,14.09003898,10.336,94.449,0.1094347214,10.94347214,
20,female,1.48,1X4217,Left,14.674,84.25,0.1741721068,17.41721068,6.926,80.469,0.08607041221,8.607041221,16.761,86.72,0.193277214,19.3277214,5.933,83.2,0.07131009615,7.131009615,
22,female,0.93,1X4166,Left,6.563,105.131,0.06242687694,6.242687694,7.215,96.521,0.07475057241,7.475057241,8.286,104.715,0.0791290646,7.91290646,10.34,101.674,0.1016975825,10.16975825,
23,female,0.61,1x4749,Left,1.274,86.019,0.01481068136,1.481068136,1.228,81.317,0.01510139331,1.510139331,1.633,90.237,0.01809678957,1.809678957,2.116,83.813,0.02524668011,2.524668011,
28,female,1.72,1X1181,Left,3.66,101.23,0.03615528993,3.615528993,3.933,96.418,0.04079113858,4.079113858,4.136,107.892,0.03833463093,3.833463093,3.396,100.793,0.03369281597,3.369281597,
29,female,1.64,1X0681,Left,5.072,92.918,0.05458576379,5.458576379,4.986,90.988,0.05479843496,5.479843496,6.088,97.82,0.0622367614,6.22367614,5.496,91.861,0.05982952504,5.982952504,
30,female,0.2,1x3782,Right,8.93,102.459,0.08715681395,8.715681395,9.153,96.887,0.09447087845,9.447087845,10.827,102.672,0.1054523142,10.54523142,10.603,99.022,0.1070772152,10.70772152,
36,female,0.9,1X2686,Left,24.962,90.161,0.2768602833,27.68602833,25.29,88.981,0.2842179791,28.42179791,30.122,97.037,0.3104176757,31.04176757,20.749,97.051,0.2137948089,21.37948089,
38,female,1.75,1X0842,Left,36.959,113.961,0.3243127035,32.43127035,38.403,117.056,0.3280737425,32.80737425,42.504,125.919,0.33755033,33.755033,41.879,122.441,0.3420341226,34.20341226,
39,male,0.41,1X4632,Left,7.562,120.716,0.06264289738,6.264289738,7.181,116.251,0.06177151164,6.177151164,8.851,122.08,0.07250163827,7.250163827,8.667,118.303,0.07326103311,7.326103311,
43,female,1.59,1X4519,Left,5.849,92.117,0.06349533745,6.349533745,6.314,90.725,0.06959492973,6.959492973,6.87,95.889,0.07164533992,7.164533992,6.899,90.519,0.07621604304,7.621604304,
47,female,1.14,1X1177,Right,4.336,86.233,0.0502823745,5.02823745,4.77,86.249,0.05530498904,5.530498904,5.417,91.362,0.0592916092,5.92916092,6.734,85.764,0.07851779301,7.851779301,
48,male,1.36,6450,Left,13.709,114.959,0.1192512113,11.92512113,8.711,112.748,0.07726079398,7.726079398,16.1,133.405,0.1206851317,12.06851317,10.551,120.936,0.08724449295,8.724449295,
49,female,1.25,10603,Left,1.879,92.773,0.02025373762,2.025373762,1.397,82.12,0.01701169021,1.701169021,2.101,101.74,0.0206506782,2.06506782,1.325,90.447,0.01464946322,1.464946322,
87,male,0.31,1X4782,Left,32.251,119.35,0.270222036,27.0222036,31.167,111.56,0.2793743277,27.93743277,36.143,127.871,0.2826520478,28.26520478,33.02,123.326,0.2677456497,26.77456497,
121,male,1.93,1X3828,Right,18.335,107.666,0.1702951721,17.02951721,17.018,106.2,0.1602448211,16.02448211,20.022,111.962,0.1788285311,17.88285311,19.826,107.318,0.1847406772,18.47406772,
122,female,1.08,1X3195,Left,1.31,90.89,0.01441302674,1.441302674,1.178,85.855,0.01372080834,1.372080834,1.695,90.17,0.01879782633,1.879782633,1.992,86.486,0.02303262956,2.303262956,
123,female,0.91,1X3597,Left,31.529,92.175,0.342055872,34.2055872,39.493,88.627,0.4456091259,44.56091259,36.026,93.83,0.3839496963,38.39496963,41.435,89.276,0.4641224965,46.41224965,
124,female,2.41,1X1374,Right,21.292,107.324,0.1983899221,19.83899221,18.155,114.071,0.159155263,15.9155263,25.975,110.527,0.2350104499,23.50104499,19.822,113.734,0.1742838553,17.42838553,
125,female,2.08,1X3567,Left,21.062,97.128,0.2168478709,21.68478709,12.22,91.418,0.1336717058,13.36717058,24.679,99.201,0.2487777341,24.87777341,12.279,97.303,0.126193437,12.6193437,
126,female,0.6,1X1032,Left,6.932,83.77,0.08275038797,8.275038797,7.6,82.983,0.09158502344,9.158502344,8.227,86.149,0.09549733601,9.549733601,8.615,81.945,0.1051314906,10.51314906,
127,female,2.45,1X0937,Right,4.304,95.815,0.04491989772,4.491989772,3.677,94.354,0.03897026093,3.897026093,4.979,96.947,0.05135795847,5.135795847,4.223,91.421,0.04619288785,4.619288785,
129,male,1.64,1x2063,Right,26.197,128.261,0.2042475889,20.42475889,22.152,121.279,0.1826532211,18.26532211,30.104,136.64,0.2203161593,22.03161593,25.797,127.157,0.2028751858,20.28751858,
134,female,1.45,1x2365,Left,20.993,118.872,0.1766017229,17.66017229,21.312,115.131,0.1851108737,18.51108737,26.588,122.438,0.2171548049,21.71548049,26.103,119.282,0.2188343589,21.88343589,
135,male,2.03,1X3809,n/a,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,
136,female,2.67,1X3648,Left,2.821,83.297,0.03386676591,3.386676591,1.877,80.554,0.02330113961,2.330113961,3.582,87.314,0.0410243489,4.10243489,2.619,83.657,0.03130640592,3.130640592,
137,female,2.1,1X4091,Left,14.947,103.657,0.1441967257,14.41967257,8.863,99.357,0.08920357901,8.920357901,18.724,111.763,0.1675330834,16.75330834,11.304,106.365,0.1062755606,10.62755606,
142,male,0.94,1X4810,Right,6.688,92.284,0.07247193446,7.247193446,7.152,99.861,0.07161955118,7.161955118,5.376,94.938,0.05662642988,5.662642988,5.776,95.749,0.06032438981,6.032438981,
143,male,2.69,6451,Left,36.59,114.92,0.3183954055,31.83954055,20.762,107.197,0.1936807933,19.36807933,37.893,120.779,0.3137383154,31.37383154,26.532,112.644,0.2355385107,23.55385107,
145,female,2.74,1X2798,Left,14.329,91.4,0.1567724289,15.67724289,10.7,90.81,0.117828433,11.7828433,16.08,95.149,0.1689980977,16.89980977,12.038,94.67,0.1271574945,12.71574945,
147,male,0.91,7445,Right,8.583,110.719,0.07752057009,7.752057009,8.172,100.035,0.08169140801,8.169140801,10.165,113.823,0.08930532493,8.930532493,9.643,109.947,0.08770589466,8.770589466,
148,male,2.51,1X2891,Right,33.739,115.378,0.2924214322,29.24214322,31.653,110.945,0.2853035288,28.53035288,40.704,113.365,0.3590526177,35.90526177,36.07,113.519,0.3177441662,31.77441662,
149,female,1.17,1X1763,Left,6.532,88.212,0.07404888224,7.404888224,5.152,81.964,0.06285686399,6.285686399,7.87,92.237,0.08532367705,8.532367705,6.776,85.502,0.0792496082,7.92496082,
151,female,2.16,1X2511,Left,0.187,82.031,0.002279625995,0.2279625995,0.241,78.213,0.003081329191,0.3081329191,0.773,85.137,0.009079483656,0.9079483656,0.869,81.897,0.01061088929,1.061088929,
155,male,1.99,1X3837,Left,10.623,95.444,0.1113008675,11.13008675,5.981,88.157,0.06784486768,6.784486768,14.381,95.924,0.1499207706,14.99207706,4.565,89.004,0.05128982967,5.128982967,
156,female,2.08,1X4230,Right,12.325,98.618,0.1249771847,12.49771847,10.912,88.251,0.1236473241,12.36473241,14.974,100.556,0.148912049,14.8912049,12.638,89.788,0.1407537756,14.07537756,
157,female,1.26,1X3291,Left,20.178,99.463,0.2028694087,20.28694087,14.579,90.179,0.1616673505,16.16673505,12.227,100.351,0.1218423334,12.18423334,18.997,93.583,0.2029962707,20.29962707,
158,female,1.28,1X4019,Left,25.062,107.59,0.2329398643,23.29398643,20.143,105.731,0.1905117704,19.05117704,28.245,126.356,0.2235350913,22.35350913,24.167,107.834,0.2241129885,22.41129885,
160,female,1.51,1X0864,Left,4.184,91.106,0.04592452747,4.592452747,5.072,86.665,0.05852420239,5.852420239,4.737,92.616,0.05114667012,5.114667012,4.619,86.227,0.05356790796,5.356790796,
161,female,2.74,1X3564,Right,22.659,103.137,0.2196980715,21.96980715,18.276,98.743,0.1850865378,18.50865378,28.36,104.845,0.2704945396,27.04945396,21.509,101.335,0.2122563774,21.22563774,
163,male,1.42,8066,Left,22.002,107.999,0.2037241086,20.37241086,17.303,114.291,0.151394248,15.1394248,28.191,116.965,0.2410208182,24.10208182,22.509,117.217,0.19202846,19.202846,
164,male,2.35,1X3822,Right,30.53,144.605,0.2111268628,21.11268628,23.061,135.854,0.1697484064,16.97484064,37.848,148.011,0.2557107242,25.57107242,29.936,138.503,0.2161397226,21.61397226,
165,female,1.48,1X2379,Right,2.84,100.574,0.02823791437,2.823791437,2.56,96.872,0.02642662482,2.642662482,3.821,103.241,0.03701049002,3.701049002,3.94,101.221,0.03892472906,3.892472906,
168,female,2.7,1X2602,Left,6.901,101.515,0.06798010146,6.798010146,6.248,95.515,0.06541380935,6.541380935,10.898,102.709,0.1061055993,10.61055993,8.994,99.064,0.09078979246,9.078979246,
169,female,0.72,1X1656,Left,14.118,100.816,0.1400372957,14.00372957,7.976,94.107,0.08475458786,8.475458786,18.139,103.991,0.1744285563,17.44285563,11.832,96.112,0.1231063759,12.31063759,
170,female,2.74,1X3103,LEFT,51.938,101.06,0.5139323174,51.39323174,58.327,95.317,0.6119265189,61.19265189,58.018,103.522,0.5604412589,56.04412589,64.936,104.31,0.6225290001,62.25290001,
171,female,2.69,1X3432,Left,39.38,87.602,0.4495331157,44.95331157,30.347,96.247,0.3153033341,31.53033341,48.283,89.512,0.5394025382,53.94025382,32.521,93.702,0.3470683657,34.70683657,
172,female,2.61,8581,Right,9.896,102.207,0.09682311388,9.682311388,5.532,97.249,0.0568849037,5.68849037,13.36,104.446,0.1279129885,12.79129885,6.646,98.471,0.06749195195,6.749195195,
173,male,1.82,1x2794,Left,46.481,150.402,0.3090450925,30.90450925,43.751,148.167,0.2952816754,29.52816754,56.349,152.106,0.370458759,37.0458759,51,153.954,0.3312677813,33.12677813,
174,male,0.72,8010,Right,7.732,119.612,0.06464234358,6.464234358,7.452,114.488,0.06508979107,6.508979107,10.12,127.612,0.07930288688,7.930288688,13.33,122.104,0.1091692328,10.91692328,
176,female,0.41,1X4041,Right,6.925,95.553,0.07247286846,7.247286846,6.138,93.394,0.0657215667,6.57215667,9.095,99.618,0.09129876127,9.129876127,6.741,95.071,0.07090490265,7.090490265,
178,female,2.82,9045,Left,4.175,101.803,0.04101057926,4.101057926,1.885,90.581,0.02081010366,2.081010366,3.372,103.396,0.03261248017,3.261248017,1.847,92.119,0.02005015252,2.005015252,
179,female,1.39,1X1879,Right,31.742,100.197,0.3167959121,31.67959121,31.518,97.667,0.3227087962,32.27087962,35.006,101.559,0.34468634,34.468634,38.822,101.514,0.3824300097,38.24300097,
180,female,0.59,1X1237,Right,6.188,100.733,0.06142972015,6.142972015,6.61,98.728,0.06695162467,6.695162467,7.228,100.179,0.07215084998,7.215084998,6.971,97.271,0.07166575855,7.166575855,
181,female,2.19,1X1734,Right,19.614,87.954,0.2230029334,22.30029334,19.445,93.028,0.2090230898,20.90230898,21.1,88.816,0.2375698072,23.75698072,16.993,92.17,0.1843658457,18.43658457,
186,female,2.43,1X2538,Right,11.273,96.15,0.1172438898,11.72438898,8.751,90.142,0.09708016241,9.708016241,12.588,96.318,0.1306920825,13.06920825,8.614,91.505,0.09413693241,9.413693241,
187,female,0.82,1X2092,Left,only cast,,#VALUE!,#VALUE!,32.232,121.499,0.265286134,26.5286134,Scan not found at Medit,,#VALUE!,#VALUE!,31.594,122.133,0.2586852038,25.86852038,
189,female,2.44,9039,Left,1.816,88.235,0.02058140194,2.058140194,1.702,81.659,0.020842773,2.0842773,2.644,91.815,0.02879703752,2.879703752,1.937,82.764,0.02340389541,2.340389541,
190,female,0.77,8864,Left,2.26,98.529,0.02293740929,2.293740929,2.649,93.422,0.02835520541,2.835520541,2.757,100.649,0.02739222446,2.739222446,3.451,95.693,0.03606324392,3.606324392,
191,female,1.45,1X4294,Left,NOT M2 PRESERVED,,#VALUE!,#VALUE!,2.855,79.92,0.03572322322,3.572322322,M2 do not exist (only right mandible),,#VALUE!,#VALUE!,2.23,78.574,0.02838088935,2.838088935,
193,female,1.84,1x2269,Left,0.56,102.912,0.005441542289,0.5441542289,1.283,96.272,0.013326824,1.3326824,0.814,103.791,0.007842683855,0.7842683855,2.017,98.564,0.02046386104,2.046386104,
196,male,1.84,10729,Right,2.132,101.527,0.02099934008,2.099934008,0.841,97.989,0.008582596006,0.8582596006,2.503,103.764,0.02412204618,2.412204618,0.959,98.614,0.009724785527,0.9724785527,
198,male,2.61,1X3867,Right,62.46,111.301,0.5611809418,56.11809418,37.96,115.565,0.3284731536,32.84731536,64.076,112.522,0.5694530847,56.94530847,39.916,108.488,0.3679300937,36.79300937,
199,male,2.83,1X3144,Left,6.833,111.951,0.06103563166,6.103563166,3.241,103.566,0.03129405403,3.129405403,8.62,116.639,0.07390323991,7.390323991,5.665,103.003,0.0549983981,5.49983981,
201,male,2.37,9472,Left,3.627,126.418,0.02869053458,2.869053458,1.835,111.077,0.01652007166,1.652007166,4.382,129.647,0.03379947087,3.379947087,2.008,117.487,0.01709125265,1.709125265,
203,female,0.86,1X3767,Left,15.466,116.067,0.1332506225,13.32506225,12.845,112.551,0.1141260406,11.41260406,19.295,116.418,0.1657389751,16.57389751,14.456,112.646,0.1283312324,12.83312324,
204,female,2.18,9878,n/a,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!,
205,female,0.98,1X2675,Left,7.395,93.725,0.07890104028,7.890104028,6.161,86.002,0.07163786889,7.163786889,9.179,94.276,0.09736306165,9.736306165,7.839,89.162,0.08791862004,8.791862004,
206,female,2.76,1X4108,Right,14.907,112.002,0.1330958376,13.30958376,8.354,103.408,0.08078678632,8.078678632,16.226,110.45,0.1469081032,14.69081032,10.267,106.285,0.09659876746,9.659876746,
209,female,1.67,1X4268,Left,15.533,89.832,0.1729116573,17.29116573,11.256,91.447,0.1230876901,12.30876901,19.38,91.683,0.2113805177,21.13805177,4.453,91.573,0.04862787066,4.862787066,
210,female,3.28,1X2199,Left,5.824,100.218,0.05811331298,5.811331298,4.535,87.948,0.05156456088,5.156456088,7.345,104.509,0.07028102843,7.028102843,5.269,87.734,0.06005653452,6.005653452,
211,female,1.9,6701,Right,0.433,89.795,0.004822094771,0.4822094771,0.344,78.047,0.004407600548,0.4407600548,0.682,90.222,0.007559131919,0.7559131919,0.552,81.05,0.006810610734,0.6810610734,
212,female,2.25,1x4183,Right,11.047,116.582,0.09475733818,9.475733818,5.29,120.428,0.04392666157,4.392666157,21.629,116.101,0.1862946917,18.62946917,8.646,121.682,0.07105405894,7.105405894,
213,female,3.17,1X2713,Left,0.56,79.827,0.007015170306,0.7015170306,0.549,78.327,0.00700907733,0.700907733,0.673,81.695,0.008237958259,0.8237958259,1.157,77.154,0.01499598206,1.499598206,
214,female,1.99,1X3327,Left,5.283,90.338,0.05848037371,5.848037371,4.813,85.877,0.05604527405,5.604527405,7.324,90.236,0.08116494525,8.116494525,6.529,86.224,0.07572137688,7.572137688,
217,female,2.99,1X2796,Left,9.869,95.062,0.1038164566,10.38164566,10.08,93.88,0.1073711121,10.73711121,9.155,70.235,0.130348117,13.0348117,11.971,93.748,0.1276933908,12.76933908,
219,female,3.18,6860,Left,4.236,96.606,0.04384820819,4.384820819,3.331,89.184,0.03734974883,3.734974883,6.091,96.424,0.0631689206,6.31689206,3.962,90.303,0.04387451137,4.387451137,
220,female,2.87,1X3653,Left,4.641,94.814,0.04894846753,4.894846753,5.494,92.946,0.05910959051,5.910959051,5.928,97.059,0.06107625259,6.107625259,5.133,92.277,0.05562599564,5.562599564,
222,male,3.08,1X3697,Left,79.396,124.799,0.6361909951,63.61909951,72.336,127.235,0.5685228121,56.85228121,82.02,127.016,0.6457454179,64.57454179,72.036,126.615,0.5689373297,56.89373297,
224,male,2.48,6965,Right,8.517,121.997,0.06981319213,6.981319213,6.149,117.885,0.05216100437,5.216100437,11.349,126.321,0.089842544,8.9842544,6.899,123.976,0.05564786733,5.564786733,
