W#,sex,Age in months at cast,Age in months at death,SFBR ID,Left or Right M2?,B-M_Cast,B-D_Cast,L-M_Cast,L-D_Cast,B-M_Ost,B-D_Ost,L-M_Ost,L-D_Ost
3,female,213,232,1X4045,Right,6,6,4,2,7,7,5,4
8,female,331,336,1X1957,Right,6,6,4,4,6,6,4,5
10,female,237,243,1X3771,Left,5,4,3,5,6,5,4,5
12,female,261,274,1X1687,Left,6,5,4,5,6,5,6,5
17,female,218,236,1X3939,Left,6,5,2,4,7,7,4,5
18,male,233,247,1X3475,Left,5,5,5,5,5,6,6,6
20,female,205,223,1X4217,Left,5,4,1,2,7,6,5,4
22,female,207,218,1X4166,Left,6,5,2,3,7,5,4,3
23,female,185,192,1x4749,Left,2,2,1,1,5,5,4,2
28,female,353,373,1X1181,Left,4,5,1,2,5,6,2,4
29,female,352,372,1X0681,Left,6,5,1,1,6,5,2,4
30,female,237,239,1x3782,Right,6,5,5,4,6,5,5,4
36,female,352,363,1X2686,Left,7,7,2,2,9,8,5,4
38,female,377,398,1X0842,Left,7,7,7,2,8,8,8,5
39,male,193,198,1X4632,Left,6,5,2,1,6,5,5,4
43,female,244,263,1X4519,Left,6,5,2,1,6,5,4,2
47,female,329,343,1X1177,Right,6,6,2,1,6,6,4,2
48,male,163,179,6450,Left,5,5,2,3,6,5,5,4
49,female,87,102,10603,Left,5,2,2,1,5,4,2,2
87,male,184,187,1X4782,Left,7,6,6,5,8,7,9,5
121,male,223,246,1X3828,Right,6,6,6,6,7,7,7,6
122,female,252,264,1X3195,Left,3,2,2,1,5,4,2,1
123,female,242,253,1X3597,Left,7,7,7,5,7,7,7,6
124,female,271,299,1X1374,Right,7,6,3,3,7,7,6,5
125,female,232,257,1X3567,Left,6,5,5,5,7,6,6,5
126,female,328,335,1X1032,Left,5,5,3,2,6,6,5,5
127,female,283,312,1X0937,Right,5,5,2,1,6,6,4,2
129,male,267,287,1x2063,Right,6,6,6,6,7,6,7,6
134,female,260,277,1x2365,Left,7,7,6,4,8,7,6,5
136,female,229,261,1X3648,Left,5,5,2,1,5,5,4,2
